topic,count,example
Galaxy Fold launch & delay,162,THE FIRST Galaxy Fold - Casey Neistat
Galaxy S10 reviews & battery life,155,Samsung Galaxy S10 5G camera review - DXOMark
Switching phones between brands,98,"Switched from S10+ from Pixel 3XL - What I've learned Last week, I took advantage of the $550 Samsung Trade-In offer for the Pixel 3XL (now down to $300). I'm typically a big Google fan, but short of "
Galaxy Buds audio problems,93,"Right bud 95% and other MAJOR problems Hello. 

Ive been using the galaxy buds now for two weeks.

The major ocdproblem ive been having is that my right bud will mostly never charge over 95%. I have m"
Android Pie / One UI update problems,73,"S8 One UI update still not received, why? We used to be with Verizon and had three phones with them.

Samsung Galaxy S9
Samsung Galaxy S8
Samsung Galaxy S8+

The S9 got update on time while being with"
iPhone models & rumours,65,"iPhone 7 Jet Black was the last great iPhone In my opinion, iPhone 7 Jet Black is the best iPhone Apple ever made. iPhone 8 is too heavy and they made it a little thicker too. Glass back made sense on"
AirPods reviews & Android use,60,"Review of AirPods gen 2 on Android, or why I'm switching back to the Galaxy Buds **Before I start, yes, I know AirPods are designed to be used with an iPhone. That doesn't mean it's invalid to pair th"
Smartwatches: Galaxy Watch vs Apple Watch,59,Samsung galaxy watch active worth it or any good I'm curious for those who have it if the active eatures are worth it for someone not 100 % into fitness and mainly just looking for a good watch. Also 
Galaxy Buds preorder & stock,55,Buds or no buds I pre-ordered my phone so I was suppose to get the galaxy buds but they obviously went out of stock so now I have a 130$ certificate. My question is should I buy the buds or something 
iPad models & comparisons,52,"I bought an iPad mini 4 case for my mini 5, it didn’t fit. So I just bought the new iPad mini (5th generation) and it’s pretty great. I had an old iPad mini 2 that, while functional, wasn’t quite up f"
MacBook keyboard & hardware,49,Hardware engineers: how much would apple need to redesign the Macbook Air/Pro chassis to accommodate a non-butterfly keyboard? There’s been a lot of justified criticism of Apple’s decision to implemen
Charging & cables,45,"Is it safe to fast charge the Galaxy Buds? Got my buds yesterday but realized they only come with a USB cable, not the wall charger. This makes me assume I should be using a standard charger for them "
Apple Music & streaming subscriptions,42,Apple Music Overtakes Spotify in U.S. Subscribers
"Apple services: News+, TV+, Arcade",40,"Apple News Plus refresh frequency Are articles published piecemeal throughout the day on publishers’ websites (LA Times or WSJ for example) available to Apple News Plus customers immediately, or are t"
Screen protection & phone durability,39,"Do I need a screen protector for my Galaxy S8? Hi, I've had my S8 for a year and a half now and am on contract for 3 years in total. 

I have a spigen case and have been using a spigen screen protecto"
Samsung TVs & home AV,33,"Smart TV Upscaling I think I already know the answer to my question.. but does 4k upscaling on compatible Samsung TVs only happen in the TV apps?

I've noticed that Netflix/Twitch look better on the T"
Galaxy S10 fingerprint sensor & security,32,Samsung Galaxy S10 fingerprint sensor defeated by a $450 3D printer
Apple–Qualcomm legal settlement,29,Thoughts on the Apple/Qualcomm settlement
Apple Card & Apple Pay,29,"Apple Card Review Apple wants this summer to do a reward credit card issue, that is one step ahead of its current rewards card and will be a contender to dominate a credit card game, which is among Ap"
Apple Store support & AppleCare,28,Jessa Jones of IpadRehab CORRECTS Apple on data recovery: gets BANNED!
Android navigation gestures,28,Is there a way to hide the navigation bar (not full screen gestures) but the navigation bar I just updated my note 9 and really miss the hidden navigation bar and here’s a good AMOLED wallpaper
5G modem chip supply chain,24,Huawei 'Open' to Selling 5G Chips to Apple
Galaxy Tab tablets,23,"In the market for a Samsung tablet. I'm interested in hearing the community’s thoughts on this. I've got about $500 saved to buy a new tablet, and I’m trying to decide if I should go with the s4, the "
Samsung corporate & market position,22,Samsung will remain the global smartphone leader for the next decade: DJ Koh
iOS development & app ecosystem,21,iOS(iPhone) App Development Updates And Trends In 2019
Samsung One UI customisation (Good Lock),20,Good Lock LockStar wallpaper location? Just got the Pie + One UI update on my Note 8 today and I'm liking the change from basically the same UI as my frist Android (LG V10). First thing that had to go
Notification LED & edge lighting,19,"Google Pixel 2 notification LED not working? I've enabled the notification led in settings but its not showing up. I had this feature on my last phone the samsung note 4 and it was useful.

also I can"
Social app camera quality on Android,17,"Instagram stories Hey! 

I don’t have a pixel right now but I want a google pixel 2xl. I have an iPhone 6 now. I’ve seen that insta stories look really bad on Android. I like to post travel related vi"
OnePlus 6T vs Galaxy / iPhone,17,"Should I trade in my iPhone 7 Plus for OnePlus 6T? I'm tired of Apples games, I was thinking of going for either the Pixel 3 XL or the OnePlus 6T but after looking at the comparisons, they're almost t"
iOS 13 features & dark mode,16,Today's tech news: Apple iOS 13 updates with dark mode on iPad
Samsung customer service & refunds,16,"Samsung TV order backordered and was never notified. So I ordered a Q9FN TV from Samsung.com on March 24th. It’s the 2018 model and with the newer model out, I thought I’d be a good opportunity to buy"
